,time,sst_4270,sst_4360,sst_4216,sst_4339,sst_34320,,4270,4360,4216,4339,34320
236,1869-09-01,4.020625114,5.201882587,3.29275018,1.104250059,-0.69800004,,,,,,
237,1869-10-01,2.75375016,4.040353116,1.827250093,0.127625008,-1.256555597,,,,,,
238,1869-11-01,1.619125076,3.511235447,0.420000017,-0.824125037,-1.596333398,,,,,,
239,1869-12-01,0.967625039,2.75876487,-0.263000011,-1.361500062,-1.720555637,,,,,,
240,1870-01-01,1.371125106,2.411411874,-0.801000044,-1.429625064,-1.801111208,,,,,,
241,1870-02-01,1.377750091,2.19470597,-1.072750062,-1.42687507,-1.809222327,,,,,,
242,1870-03-01,1.16087503,1.563529493,-0.801750034,-1.567875072,-1.826000094,,,,,,
243,1870-04-01,1.287250057,1.689941274,-0.016000002,-1.467250057,-1.822666738,,,,,,
244,1870-05-01,1.776625074,2.27276483,0.830250055,-1.239875048,-1.781444536,,,,,,
245,1870-06-01,2.885875165,3.712882561,1.90350008,-0.500750028,-1.658666743,,,,,,
246,1870-07-01,4.181125224,5.099000258,3.061750174,0.679875024,-0.964666701,,,,,,
247,1870-08-01,4.20337519,6.017176782,3.582750201,1.493500061,-0.759444486,,,,,,
248,1870-09-01,3.70037517,5.276000205,3.223500133,0.677750032,-0.771222267,,,,,,
249,1870-10-01,2.829875141,4.04341197,1.805250078,0.044125004,-1.239666727,,,,,,
250,1870-11-01,1.974000111,3.75305898,0.464750022,-0.725625047,-1.597444508,,,,,,
251,1870-12-01,1.59775009,2.864058978,-0.293000016,-1.40425007,-1.716222286,,,,,,
252,1871-01-01,1.589375079,2.648058954,-0.815500036,-1.42200008,-1.795333425,,,,,,
253,1871-02-01,1.341500066,2.45464718,-1.067750037,-1.415375076,-1.805555648,,,,,,
254,1871-03-01,1.16875007,1.855411836,-0.808000028,-1.516125068,-1.818777866,,,,,,
255,1871-04-01,1.470250085,1.69758832,-0.024000001,-1.522250079,-1.81411118,,,,,,
256,1871-05-01,2.019625053,2.152353027,0.843500048,-1.452625088,-1.79255565,,,,,,
257,1871-06-01,3.176875144,3.415470768,1.934250057,-1.050250046,-1.765555633,,,,,,
258,1871-07-01,4.74312523,5.414764937,3.350250125,0.114000006,-1.305444505,,,,,,
